id,name
0,Apply Eye Makeup
1,Apply Lipstick
2,Archery
3,Baby Crawling
4,Balance Beam
5,Band Marching
6,Baseball Pitch
7,Basketball
8,Basketball Dunk
9,Bench Press
10,Biking
11,Billiards
12,Blow Dry Hair
13,Blowing Candles
14,Body Weight Squats
15,Bowling
16,Boxing Punching Bag
17,Boxing Speed Bag
18,Breast Stroke
19,Brushing Teeth
20,Clean And Jerk
21,Cliff Diving
22,Cricket Bowling
23,Cricket Shot
24,Cutting In Kitchen
25,Diving
26,Drumming
27,Fencing
28,Field Hockey Penalty
29,Floor Gymnastics
30,Frisbee Catch
31,Front Crawl
32,Golf Swing
33,Haircut
34,Hammering
35,Hammer Throw
36,Handstand Pushups
37,Handstand Walking
38,Head Massage
39,High Jump
40,Horse Race
41,Horse Riding
42,Hula Hoop
43,Ice Dancing
44,Javelin Throw
45,Juggling Balls
46,Jumping Jack
47,Jump Rope
48,Kayaking
49,Knitting
50,Long Jump
51,Lunges
52,Military Parade
53,Mixing
54,Mopping Floor
55,Nunchucks
56,Parallel Bars
57,Pizza Tossing
58,Playing Cello
59,Playing Daf
60,Playing Dhol
61,Playing Flute
62,Playing Guitar
63,Playing Piano
64,Playing Sitar
65,Playing Tabla
66,Playing Violin
67,Pole Vault
68,Pommel Horse
69,Pull Ups
70,Punch
71,Push Ups
72,Rafting
73,Rock Climbing Indoor
74,Rope Climbing
75,Rowing
76,Salsa Spin
77,Shaving Beard
78,Shotput
79,Skate Boarding
80,Skiing
81,Skijet
82,Sky Diving
83,Soccer Juggling
84,Soccer Penalty
85,Still Rings
86,Sumo Wrestling
87,Surfing
88,Swing
89,Table Tennis Shot
90,Tai Chi
91,Tennis Swing
92,Throw Discus
93,Trampoline Jumping
94,Typing
95,Uneven Bars
96,Volleyball Spiking
97,Walking With Dog
98,Wall Pushups
99,Writing On Board
100,Yoyo
